pregunta,dificultad,opcion1,opcion2,opcion3,opcion4,respuesta_correcta
¿Cuál es el planeta más cercano al Sol?,facil,Mercurio,Venus,Marte,Júpiter,Mercurio
¿En qué continente está Argentina?,facil,Europa,Asia,América,Africa,América
¿Cuántos minutos tiene una hora?,facil,30,45,60,90,60
¿De qué color es el cielo despejado?,facil,Rojo,Verde,Azul,Amarillo,Azul
¿Cuántos días tiene una semana?,facil,5,6,7,8,7
¿Qué animal es conocido como el “rey de la selva”?,facil,Tigre,León,Elefante,Guepardo,León
¿Cuál es el océano más grande?,facil,Atlántico,Pacífico,Índico,Ártico,Pacífico
¿Cuál es la capital de España?,facil,Barcelona,Madrid,Sevilla,Valencia,Madrid
¿Cuántas patas tiene una araña?,facil,4,6,8,10,8
¿Qué instrumento tiene teclas blancas y negras?,facil,Violín,Piano,Guitarra,Trompeta,Piano
¿Cuál es el idioma más hablado del mundo?,facil,Inglés,Chino mandarín,Español,Árabe,Chino mandarín
¿De qué animal proviene la leche?,facil,Vaca,Perro,Gato,Caballo,Vaca
¿Cuántos continentes existen?,facil,4,5,6,7,7
¿Qué gas respiramos para vivir?,facil,Hidrógeno,Oxígeno,Nitrógeno,Helio,Oxígeno
¿Cuál es el metal más usado en cables eléctricos?,facil,Plata,Oro,Cobre,Aluminio,Cobre
¿Cuál es la moneda de Estados Unidos?,facil,Euro,Peso,Yen,Dólar,Dólar
¿Qué animal pone huevos?,facil,Perro,Gallina,Gato,Cerdo,Gallina
¿Qué estación sigue al invierno?,facil,Verano,Otoño,Primavera,Invierno,Primavera
¿De qué color es una pelota de tenis?,facil,Roja,Verde,Azul,Naranja,Verde
¿Qué forma tiene la Tierra?,facil,Cúbica,Plana,Esférica,Piramidal,Esférica
¿Cuál es el número más pequeño?,facil,1,0,-1,2,0
¿En qué país está la Torre Eiffel?,facil,Alemania,Italia,Francia,España,Francia
¿Qué figura tiene tres lados?,facil,Cuadrado,Triángulo,Círculo,Rectángulo,Triángulo
¿Quién es el ratón famoso de Disney?,facil,Minnie,Mickey,Pluto,Donald,Mickey
¿Qué usamos para ver mejor?,facil,Lupa,Gorra,Teléfono,Guantes,Lupa
¿Qué vehículo vuela?,facil,Auto,Avión,Barco,Moto,Avión
¿En qué país nació Messi?,facil,Brasil,Argentina,España,México,Argentina
¿Cuántas horas tiene un día?,facil,12,24,36,48,24
¿Qué fruta es amarilla y curva?,facil,Manzana,Plátano,Pera,Uva,Plátano
¿Cuántas puntas tiene una estrella común?,facil,4,5,6,8,5
¿Cuál es el río más largo del mundo?,media,Nilo,Amazonas,Mississippi,Yangtze,Amazonas
¿Quién pintó “La última cena”?,media,Leonardo da Vinci,Picasso,Van Gogh,Rembrandt,Leonardo da Vinci
¿Cuál es la capital de Canadá?,media,Toronto,Montreal,Ottawa,Vancouver,Ottawa
¿Qué país ganó la primera Copa del Mundo?,media,Argentina,Brasil,Uruguay,Italia,Uruguay
¿En qué año llegó el hombre a la Luna?,media,1965,1969,1972,1959,1969
¿Quién escribió Don Quijote?,media,Borges,Cervantes,García Márquez,Lorca,Cervantes
¿Cuál es el país más grande del mundo?,media,China,Estados Unidos,Rusia,India,Rusia
¿Qué órgano bombea la sangre?,media,Pulmón,Hígado,Cerebro,Corazón,Corazón
¿En qué continente está Egipto?,media,Europa,Asia,África,Oceanía,África
¿Cuál es la montaña más alta?,media,K2,Kilimanjaro,Monte Everest,Mont Blanc,Monte Everest
¿De qué país era Mozart?,media,Italia,Austria,España,Alemania,Austria
¿Cuál es el metal más liviano?,media,Hierro,Aluminio,Litio,Oro,Litio
¿Qué país tiene forma de bota?,media,España,Grecia,Italia,Portugal,Italia
¿Cuál es la capital de Australia?,media,Sídney,Melbourne,Canberra,Brisbane,Canberra
¿Quién formuló la teoría de la relatividad?,media,Newton,Einstein,Bohr,Hawking,Einstein
¿Cuál es el desierto más grande?,media,Sahara,Gobi,Atacama,Arabia,Sahara
¿En qué país se originaron los Juegos Olímpicos?,media,Roma,Grecia,Egipto,China,Grecia
¿Qué vitamina se obtiene del sol?,media,A,B,C,D,D
¿Quién escribió “1984”?,media,Orwell,Huxley,Tolkien,Bradbury,Orwell
¿En qué país está Machu Picchu?,media,Bolivia,Perú,Brasil,Chile,Perú
¿En qué océano está Hawái?,media,Atlántico,Pacífico,Índico,Ártico,Pacífico
¿Cuál es la capital de Japón?,media,Osaka,Tokio,Kioto,Hiroshima,Tokio
¿Qué animal es el más grande del mundo?,media,Elefante,Orca,Ballena azul,Tiburón,Ballena azul
¿Quién descubrió América?,media,Magallanes,Colón,Vespucci,Cortés,Colón
¿Cuál es la ciudad más poblada?,media,Nueva York,Tokio,Shanghai,México DF,Tokio
¿Qué científico descubrió la gravedad?,media,Einstein,Newton,Galileo,Kepler,Newton
